# Table: fun
# Replaces: type=fact
# uuid: id
type,content
fact,"The first female guest host of ""Saturday Night Live"" was Candace Bergen."
fact,"In 1933, Mickey Mouse, an animated cartoon character, received 800,000 fan letters."
fact,"The Simpsons is the longest running animated series on TV."
fact,"The first toilet ever seen on television was on ""Leave It to Beaver.""."
fact,"In every episode of Seinfeld there is a Superman somewhere."
fact,"The average human brain has about 100 billion nerve cells."
fact,"Nerve impulses to and from the brain travel as fast as 170 miles (274 km) per hour."
fact,"The thyroid cartilage is more commonly known as the adams apple."
fact,"Your stomach needs to produce a new layer of mucus every two weeks or it would digest itself."
fact,"The average life of a taste bud is 10 days."
fact,"The average cough comes out of your mouth at 60 miles (96.5 km) per hour."
fact,"Relative to size, the strongest muscle in the body is the tongue."
fact,"When you sneeze, all your bodily functions stop even your heart."
fact,"Babies are born without knee caps. They don't appear until the child reaches 2-6 years of age."
fact,"Right handed people live, on average, nine years longer than left handed people do."
fact,"Children grow faster in the springtime."
fact,"It takes the stomach an hour to break down cows’ milk."
fact,"Women blink nearly twice as much as men."
fact,"Blondes have more hair than dark-haired people do."
fact,"There are 10 human body parts that are only 3 letters long (eye hip arm leg ear toe jaw rib lip gum)."
fact,"If you go blind in one eye you only lose about one fifth of your vision but all your sense of depth."
fact,"The average human head weighs about 8 pounds."
fact,"In the average lifetime, a person will walk the equivalent of 5 times around the equator."
fact,"An average human scalp has 100,000 hairs."
fact,"The average human blinks their eyes 6,205,000 times each year."
fact,"Your skull is made up of 29 different bones."
fact,"Ancient Egyptians shaved off their eyebrows to mourn the deaths of their cats."
fact,"Hair is made from the same substance as fingernails."
fact,"The surface of the human skin is 6.5 square feet (2m)."
fact,"15 million blood cells are destroyed in the human body every second."
fact,"The pancreas produces Insulin."
fact,"The most sensitive cluster of nerves is at the base of the spine."
fact,"The human body is comprised of 80% water."
fact,"The average human will shed 40 pounds of skin in a lifetime."
fact,"Human thighbones are stronger than concrete."
fact,"There are 45 miles of nerves in the skin of a human being."
fact,"Canadian researchers have found that Einstein's brain was 15% wider than normal."
fact,"While in Alcatraz, Al Capone was inmate #85."
fact,"Astronaut Neil Armstrong first stepped on the moon with his left foot."
fact,"Jim Morrison, of the 60's rock group The Doors, was the first rock star to be arrested on stage."
fact,"Frank Lloyd Wright's son invented Lincoln Logs."
fact,"Peter Falk, who played ""Columbo,"" has a glass eye."
fact,"Barbie's full name is ""Babara Millicent Roberts.""."
fact,"The mother of Michael Nesmith of ""The Monkees"" invented whiteout."
fact,"Isaac Asimov is the only author to have a book in every Dewey-decimal category."
fact,"Shakespeare invented the word ""assassination"" and ""bump.""."
fact,"Leonardo Da Vinci invented the scissors."
fact,"Adolf Hitler's mother seriously considered having an abortion but was talked out of it by her doctor."
fact,"Marilyn Monroe had six toes."
fact,"The shortest British monarch was Charles I, who was 4 feet 9 inches."
fact,"Tina Turner's real name is Annie Mae Bullock."
fact,"Beethoven dipped his head in cold water before he composed."
fact,"President John F Kennedy could read 4 newspapers in 20 minutes."
fact,"Bob Dylan's real name is Robert Zimmerman."
fact,"Sigmund Freud had a morbid fear of ferns."
fact,"Anne Boleyn, Queen Elizabeth I's mother, had six fingers on one hand."
fact,"Orville Wright was involved in the first aircraft accident. His passenger, a Frenchman, was killed."
fact,"The sound of E.T. walking was made by someone squishing her hands in jelly."
fact,"Cher's last name was ""Sarkissian."" She changed it because no one could pronounce it."
fact,"Sugar was first added to chewing gum in 1869 by a dentist, William Semple."
fact,"Paper was invented early in the second century by Chinese eunuch."
fact,"Sir Isaac Newton was only 23 years old when he discovered the law of universal gravitation."
fact,"Hannibal had only one eye after getting a disease while attacking Rome."
fact,"A blue whales heart only beats nine times per minute."
fact,"A cat uses its whiskers to determine if a space is too small to squeeze through."
fact,"A chameleon's tongue is twice the length of its body."
fact,"A crocodiles tongue is attached to the roof of its mouth."
fact,"Rodent's teeth never stop growing."
fact,"A shark can detect one part of blood in 100 million parts of water."
fact,"The penguin is the only bird that can swim but can't fly."
fact,"The cheetah is the only cat that can't retract its claws."
fact,"A lion's roar can be heard from five miles away."
fact,"Emus and kangaroos can't walk backwards."
fact,"Cats have over 100 vocal sounds; dogs only have 10."
fact,"A mole can dig a tunnel 300 feet (91 m) long in just one night."
fact,"Insects outnumber humans 100,000,000 to one."
fact,"Sharkskin has tiny tooth-like scales all over."
fact,"Chameleons can move their eyes in two directions at the same time."
fact,"Koalas never drink water. They get fluids from the eucalyptus leaves they eat."
fact,"A cow gives nearly 200,000 glasses of milk in her lifetime."
fact,"When sharks take a bite, their eyes roll back and their teeth jut out."
fact,"Camels chew in a figure 8 pattern."
fact,"Proportional to their size, cats have the largest eyes of all mammals."
fact,"Sailfish can leap out of the water and into the air at a speed of 50 miles (81 km) per hour."
fact,"The catfish has the most taste buds of all animals, having over 27,000 of them."
fact,"A skunk's smell can be detected by a human a mile away."
fact,"A lion in the wild usually makes no more than 20 kills a year."
fact,"In space, astronauts cannot cry, because there is no gravity, so the tears can't flow."
fact,"The state of Florida is bigger than England."
fact,"One in every 4 Americans has appeared on television."
fact,"The average American/Canadian will eat about 11.9 pounds of cereal per year!."
fact,"There are over 58 million dogs in the US."
fact,"Dogs and cats consume over $11 billion worth of pet food a year."
fact,"Baby robins eat 14 feet of earthworms every day."
fact,"In Raiders of the Lost Ark there is a wall carving of R2-D2 and C-3P0 behind the ark."
fact,"""I"" is the most spoken word in the English language."
fact,"""You"" is the second most spoken English word."
fact,"Spain leads the world in cork production."
fact,"There are 1,792 steps in the Eiffel Tower."
fact,"There is a city in Norway called ""Hell""."
fact,"The human brain uses the same amount of energy as a 10-watt light bulb."
fact,"The human feet perspire half a pint of fluid a day."
fact,"An Olympic gold medal must contain 92.5 percent silver."
fact,"There are 240 dots on an arcade Pac-Man game."
fact,"The San Francisco Cable cars are the only mobile National Monuments."
fact,"Lee Harvey Oswald's cadaver tag sold at an auction for $6,600 in 1992."
fact,"A pound of houseflies contains more protein than a pound of beef."
fact,"The average American works 24,000 hours in their lifetime just to pay their taxes."
fact,"The U.S. military operates 234 golf courses."
fact,"40% of all people who come to a party in your home snoop in your medicine cabinet."
fact,"A duck's quack doesn't echo, and no one knows why."
fact,"Non-dairy creamer is flammable."
fact,"Pinocchio is Italian for ""pine head.""."
fact,"There are more than 10 million bricks in the Empire State Building."
fact,"The sun is 330,330 times larger than the earth."
fact,"Most American car horns honk in the key of F."
fact,"The name Wendy was made up for the book ""Peter Pan.""."
fact,"Barbie's full name is Barbara Millicent Roberts."
fact,"Every time you lick a stamp, you consume 1/10 of a calorie."
fact,"The average person falls asleep in seven minutes."
fact,"Studies show that if a cat falls off the seventh floor of a building it has about thirty percent less chance of surviving than a cat that falls off the twentieth floor. It supposedly takes about eight floors for the cat to realize what is occurring, relax and correct itself."
fact,"Your stomach has to produce a new layer of mucus every 2 weeks otherwise it will digest itself."
fact,"The citrus soda 7-UP was created in 1929; '7' was selected after the original 7-ounce containers and 'UP' for the direction of the bubbles."
fact,"101 Dalmatians, Peter Pan, Lady and the Tramp, and Mulan are the only Disney cartoons where both parents are present and don't die throughout the movie.  ."
fact,"A pig's orgasm lasts for 30 minutes."
fact,"'Stewardesses' is the longest word that is typed with only the left hand."
fact,"To escape the grip of a crocodile's jaws, push your thumbs into its eyeballs - it will let you go instantly."
fact,"Reindeer like to eat bananas."
fact,"No word in the English language rhymes with month, orange, silver and purple."
fact,"The word ""samba"" means ""to rub navels together.""."
fact,"Mel Blanc (the voice of Bugs Bunny) was allergic to carrots."
fact,"The electric chair was invented by a dentist."
fact,"The very first bomb dropped by the Allies on Berlin during World War II Killed the only elephant in the Berlin Zoo."
fact,"More people are killed annually by donkeys than airplane crashes."
fact,"A 'jiffy' is a unit of time for 1/100th of a second."
fact,"A whale's penis is called a dork."
fact,"Because of the rotation of the earth, an object can be thrown farther if it is thrown west."
fact,"The average person spends 6 months of their life sitting at red lights."
fact,"In 1912 a law passed in Nebraska where drivers in the country at night were required to stop every 150 yards, send up a skyrocket, wait eight minutes for the road to clear before proceeding cautiously, all the while blowing their horn and shooting off flares."
fact,"More Monopoly money is printed in a year, than real money throughout the world."
fact,"Caesar salad has nothing to do with any of the Caesars. It was first concocted in a bar in Tijuana, Mexico, in the 1920's."
fact,"One quarter of the bones in your body are in your feet."
fact,"Crocodiles and alligators are surprisingly fast on land.  Although they are rapid, they are not agile.  So, if being chased by one, run in a zigzag line to lose him or her."
fact,"Seattle’s Fremont Bridge rises up and down more than any drawbridge in the world."
fact,"Right-handed people live, on average; nine years longer than left handed people."
fact,"Ten percent of the Russian government's income comes from the sale of vodka."
fact,"In the United States, a pound of potato chips costs two hundred times more than a pound of potatoes."
fact,"A giraffe can go without water longer than a camel."
fact,"A person cannot taste food unless it is mixed with saliva. For example, if a strong-tasting substance like salt is placed on a dry tongue, the taste buds will not be able to taste it. As soon as a drop of saliva is added and the salt is dissolved, however, a definite taste sensation results. This is true for all foods."
fact,"Nearly 80% of all animals on earth have six legs."
fact,"In the marriage ceremony of the ancient Inca Indians of Peru, the couple was considered officially wed when they took off their sandals and handed them to each other."
fact,"Ninety percent of all species that have become extinct have been birds."
fact,"There is approximately one chicken for every human being in the world."
fact,"Most collect calls are made on father's day."
fact,"The first automobile race ever seen in the United States was held in Chicago in 1895. The track ran from Chicago to Evanston, Illinois. The winner was J. Frank Duryea, whose average speed was 71/2 miles per hour."
fact,"Each of us generates about 3.5 pounds of rubbish a day, most of it paper."
fact,"Women manage the money and pay the bills in  75% of all Americans households."
fact,"A rainbow can be seen only in the morning or late afternoon. It can occur only when the sun is 40 degrees or less above the horizon."
fact,"It has NEVER rained in Calama, a town in the Atacama Desert of Chile."
fact,"It costs more to buy a new car today in the United States than it cost Christopher Columbus to equip and undertake three voyages to and from the New World."
fact,"The plastic things on the end of shoelaces are called aglets."
fact,"An eighteenth-century German named Matthew Birchinger, known as ""the little man of Nuremberg,"" played four musical instruments including the bagpipes, was an expert calligrapher, and was the most famous stage magician of his day. He performed tricks with the cup and balls that have never been explained. Yet Birchinger had no hands, legs, or thighs, and was less than 29 inches tall."
fact,"Daylight Saving Time is not observed in most of the state of Arizona and parts of Indiana."
fact,"Ants closely resemble human manners:  When they wake, they stretch & appear to yawn in a human manner before taking up the tasks of the day."
fact,"Bees have 5 eyes. There are 3 small eyes on the top of a bee's head and 2 larger ones in front."
fact,"Count the number of cricket chirps in a 15-second period, add 37 to the total, and your result will be very close to the actual outdoor Fahrenheit temperature."
fact,"One-fourth of the world's population lives on less than $200 a year.  Ninety million people survive on less than $75 a year."
fact,"Butterflies taste with their hind feet."
fact,"Only female mosquito’s' bite and most are attracted to the color blue twice as much as to any other color."
fact,"If one places a tiny amount of liquor on a scorpion, it will instantly go mad and sting itself to death."
fact,"It is illegal to hunt camels in the state of Arizona."
fact,"In eighteenth-century English gambling dens, there was an employee whose only job was to swallow the dice if there was a police raid."
fact,"There are no clocks in Las Vegas gambling casinos."
fact,"The human tongue tastes bitter things with the taste buds toward the back. Salty and pungent flavors are tasted in the middle of the tongue, sweet flavors at the tip!."
fact,"The first product to have a bar code was Wrigley’s gum."
fact,"When you sneeze, air and particles travel through the nostrils at speeds over100 mph.  During this time, all bodily functions stop, including your heart, contributing to the impossibility of keeping one's eyes open during a sneeze."
fact,"Annual growth of WWW traffic is 314,000%."
fact,"%60 of all people using the Internet, use it for pornography."
fact,"In 1778, fashionable women of Paris never went out in blustery weather without a lightning rod attached to their hats."
fact,"Sex burns 360 calories per hour."
fact,"A raisin dropped in a glass of fresh champagne will bounce up and down continually from the bottom of the glass to the top."
fact,"Celery has negative calories! It takes more calories to eat a piece of celery than the celery has in it."
fact,"The average lead pencil will draw a line 35 miles long or write approximately 50,000 English words.  More than 2 billion pencils are manufactured each year in the United States. If these were laid end to end they would circle the world nine times."
fact,"The pop you hear when you crack your knuckles is actually a bubble of gas burning."
fact,"A literal translation of a standard traffic sign in China: ""Give large space to the festive dog that makes sport in the roadway.""."
fact,"You burn more calories sleeping than you do watching TV."
fact,"Larry Lewis ran the 100-yard dash in 17.8 seconds in 1969, thereby setting a new world's record for runners in the 100-years-or-older class. He was 101."
fact,"In a lifetime the average human produces enough quarts of spit to fill 2 swimming pools."
fact,"It's against the law to doze off under a hair dryer in Florida/against the law to slap an old friend on the back in Georgia/against the law to Play hopscotch on a Sunday in Missouri."
fact,"Barbie's measurements, if she were life-size, would be 39-29-33."
fact,"The human heart creates enough pressure to squirt blood 30ft."
fact,"One third of all cancers are sun related."
fact,"THE MOST UNUSUAL CANNONBALL: On two occasions, Miss 'Rita Thunderbird' remained inside the cannon despite a lot of gunpowder encouragement to do otherwise. She performed in a gold lamé bikini and on one of the two occasions (1977) Miss Thunderbird remained lodged in the cannon, while her bra was shot across the Thames River."
fact,"It has been estimated that humans use only 10% of their brain."
fact,"Valentine Tapley from Pike County, Missouri  grew chin whiskers attaining a length of twelve feet six inches from 1860 until his death 1910, protesting Abraham Lincoln's election to the presidency."
fact,"Most Egyptians died by the time they were 30 about 300 years ago,."
fact,"For some time Frederic Chopin, the composer and pianist, wore a beard on only one side of his face, explaining: ""It does not matter, my audience sees only my right side.""."
fact,"1 in every 4 Americans has appeared someway or another on television."
fact,"1 in 8 Americans has worked at a McDonalds restaurant."
fact,"70% of all boats sold are used for fishing."
fact,"Studies have shown that children laugh an average of 300 times/day and adults 17 times/day, making the average child more optimistic, curious, and creative than the adult."
fact,"A pregnant goldfish is called a twit."
fact,"The shortest war in history was between Zanzibar and England in 1896. Zanzibar surrendered after 38 minutes."
fact,"You were born with 300 bones, but by the time you are an adult you will only have 206."
fact,"If you go blind in one eye you only lose about one fifth of your vision but all your sense of depth."
fact,"Women blink nearly twice as much as men."
fact,"The strongest muscle (Relative to size) in the body is the tongue."
fact,"A Boeing 747's wingspan is longer than the Wright brother's first flight."
fact,"American Airlines saved $40,000 in 1987 by eliminating one olive from each salad served in first-class."
fact,"Average life span of a major league baseball: 7 pitches."
fact,"A palindrome is a sentence or group of sentences that reads the same backwards as it does forward: Ex:  'Red rum, sir, is murder.' 'Ma is as selfless as I am.' 'Nurse, I spy gypsies. Run!'  'A man, a plan, a canal - Panama.' 'He lived as a devil, eh?'."
fact,"The first CD pressed in the US was Bruce Springsteen's 'Born in the USA'."
fact,"In 1986 Congress & President Ronald Reagan signed Public Law 99-359, which changed Daylight Saving Time from the last Sunday in April to the first Sunday in April.  It was estimated to save the nation about 300,000 barrels of oil each year by adding most of the month April to D.S.T."
fact,"The thumbnail grows the slowest, the middle nail the fastest, nearly 4 times faster than toenails."
fact,"The Human eyes never grow, but nose and ears never stop growing."
fact,"The 57 on Heinz ketchup bottles represents the number of varieties of pickles the company once had."
fact,"Tom Sawyer was the first novel written on a typewriter."
fact,"If Texas were a country, its GNP would be the fifth largest of any country in the world."
fact,"There are 1 million ants for every human in the world."
fact,"Odds of being killed by lightening? 1 in 2million/killed in a car crash? 1 in 5,000/killed by falling out of bed? 1 in 2million/killed in a plane crash? 1 in 25 million."
fact,"Since 1978, 37 people have died by Vending Machine's falling on them.  13 people are killed annually.  All this while trying to shake merchandise out of them. 113 people have been injured."
fact,"Half the foods eaten throughout the world today were developed by farmers in the Andes Mountains (including potatoes, maize, sweet potatoes, squash, all varieties of beans, peanuts, manioc, papayas, strawberries, mulberries and many others)."
fact,"The 'Golden Arches' of fast food chain McDonalds is more recognized worldwide than the religious cross of Christianity."
fact,"Former basketball superstar Michael Jordan is the most recognized face in the world, more than the pope himself."
fact,"The average talker sprays about 300 microscopic saliva droplets per minute, about 2.5 droplets per word."
fact,"The Earth experiences 50,000 Earth quakes per year and is hit by Lightning 100 times a second."
fact,"Every year 11,000 Americans injure themselves while trying out bizarre sexual positions."
fact,"If we had the same mortality rate now as in 1900, more than half the people in the world today would not be alive."
fact,"On average, Americans eat 18 acres of pizza everyday."
fact,"Researchers at the Texas Department of Highways in Fort Worth determined the cow population of the U.S. burps some 50 million tons of valuable hydrocarbons into the atmosphere each year.  The accumulated burps of ten average cows could keep a small house adequately heated and its stove operating for a year."
fact,"During a severe windstorm or rainstorm the Empire State Building sways several feet to either side."
fact,"In the last 3,500 years, there have been approximately 230 years of peace throughout the civilized world."
fact,"The Black Death reduced the population of Europe by one third in the period from 1347 to 1351."
fact,"The average person spends about two years on the phone in a lifetime."
fact,"Length of beard an average man would grow if he never shaved 27.5 feet."
fact,"Over 60% of all those who marry get divorced."
fact,"400-quarter pounders can be made from 1 cow."
fact,"A full-loaded supertanker traveling at normal speed takes at least 20 minutes to stop."
fact,"Coca-Cola was originally green."
fact,"Men can read smaller print than women; women can hear better."
fact,"Hong Kong holds the most Rolls Royce’s per capita."
fact,"Average number of days a West German goes without washing his underwear: 7."
fact,"WWII fighter pilots in the South Pacific armed their airplanes while stationed with .50 caliber machine gun ammo belts measuring 27 feet before being loaded into the fuselage. If the pilots fired all their ammo at a target, he went through ""the whole 9 yards"", hence the term."
fact,"Average number of people airborne over the US any given hour: 61,000."
fact,"Intelligent people have more zinc and copper in their hair."
fact,"Iceland consumes more Coca-Cola per capita than any other nation."
fact,"In the early 1940s, the FCC assigned television's Channel 1 to mobile services (like two-way radios in taxis) but did not re-number the other channel assignments."
fact,"The San Francisco Cable cars are the only mobile National Monuments."
fact,"Firehouses have circular stairways originating from the old days when the engines were pulled by horses. The horses were stabled on the ground floor and figured out how to walk up straight staircases."
fact,"The Main Library at Indiana University sinks over an inch every year because when it was built, engineers failed to take into account the weight of all the books that would occupy the building."
fact,"111,111,111 x 111,111,111 = 12,345,678,987,654,321."
fact,"Statues in parks: If the horse has both front legs in the air, the person died in battle; if the horse has one front leg in the air, the person died as a result of wounds received in battle; if the horse has all four legs on the ground, the person died of natural causes."
fact,"The expression 'to get fired' comes from long ago Clans that wanted to get rid of unwanted people, so they would burn their houses instead of killing them, creating the term 'Got fired'."
fact,"""I am."" is the shortest complete sentence in the English language."
fact,"Hershey's Kisses are called that because the machine that makes them looks like it's kissing the conveyor belt."
fact,"The phrase ""rule of thumb"" is derived from an old English law, which stated that you couldn't beat your wife with anything wider than your thumb."
fact,"The longest recorded flight of a chicken is thirteen seconds."
fact,"The Eisenhower interstate system requires that one mile in every five must be straight in case of war or emergency, they could be used as airstrips."
fact,"The name Jeep came from the abbreviation used in the army. G.P. for 'General Purpose' vehicle."
fact,"The Pentagon, in Arlington, Virginia, has twice as many bathrooms as is necessary, because when it was built in the 1940s, the state of Virginia still had segregation laws requiring separate toilet facilities for blacks and whites."
fact,"The cruise liner, Queen Elizabeth II, moves only six inches for each gallon of diesel that it burns."
fact,"If you have three quarters, four dimes, and four pennies, you have $1.19, the largest amount of money in coins without being able to make change for a dollar."
fact,"In Aspen Colorado, you can have a maximum income of $104,000 and still receive government subsidized housing."
fact,"Honking of car horns for a couple that just got married is an old superstition to insure great sex."
fact,"Dr. Kellogg introduced Kellogg's Corn Flakes in hopes that it would reduce masturbation."
fact,"The sperm of a mouse is actually longer than the sperm of an elephant."
fact,"In medieval France, unfaithful wives were made to chase a chicken through town naked."
fact,"The Black Widow spider eats her mate during or after sex."
fact,"Napoleon's penis was sold to an American Urologist for $40,000."
fact,"Eating the heart of a male Partridge was the cure for impotence in ancient Babylon."
fact,"A bull can inseminate 300 cows from one single ejaculation."
fact,"When a Hawaiian woman wears a flower over her left ear, it means that she is not available."
fact,"The ""save"" icon on Microsoft Word shows a floppy disk with the shutter on backwards."
fact,"The only nation whose name begins with an ""A"", but doesn't end in an ""A"" is Afghanistan."
fact,"The following sentence: 'A rough-coated, dough-faced, thoughtful ploughman strode through the streets of Scarborough; after falling into a slough, he coughed and hiccoughed.' Contains the nine different pronunciations of ""ough"" in the English Language."
fact,"The verb ""cleave"" is the only English word with two synonyms which are antonyms of each other: adhere and separate."
fact,"The only 15-letter word that can be spelled without repeating a letter is uncopyrightable."
fact,"The shape of plant collenchyma’s cells and the shape of the bubbles in beer foam are the same - they are orthotetrachidecahedrons."
fact,"Emus and kangaroos cannot walk backwards, and are on the Australian coat of arms for that reason."
fact,"Cats have over one hundred vocal sounds, while dogs only have about ten."
fact,"Blueberry Jelly Bellies were created especially for Ronald Reagan."
fact,"PEZ candy even comes in a Coffee flavor."
fact,"The first song played on Armed Forces Radio during operation Desert Shield was ""Rock the Casba"" by the Clash."
fact,"Non-dairy creamer is flammable."
fact,"The airplane Buddy Holly died in was the ""American Pie."" (Thus the name of the Don McLean song)."
fact,"Each king in a deck of playing cards represents a great king from history. Spades - King David, Clubs - Alexander the Great, Hearts - Charlemagne, and Diamonds - Julius Caesar."
fact,"Golf courses cover 4% of North America."
fact,"The average person will accidentally eat just under a pound of insects every year."
fact,"Until 1994, world maps and globes sold in Albania only had Albania on them."
fact,"The value of Pi will be officially ""rounded down"" to 3.14 from 3.14159265359 on December 31, 1999."
fact,"The Great Wall of China is the only man-made structure visible from space."
fact,"A piece of paper can be folded no more then 9 times."
fact,"The amount of computer Memory required to run WordPerfect for Win95 is 8 times the amount needed aboard the space shuttle."
fact,"The average North American will eat 35,000 cookies during their life span."
fact,"Between 25% and 33% of the population sneeze when exposed to light."
fact,"The most common name in world is Mohammed."
fact,"Mount Olympus Mons on Mars is three times the size of Mount Everest."
fact,"Most toilets flush in E flat."
fact,"2,000 pounds of space dust and other space debris fall on the Earth every day."
fact,"Each month, there is at least one report of UFOs from each province of Canada."
fact,"40,000 Americans are injured by toilets each year."
fact,"You can be fined up to $1,000 for whistling on Sunday in Salt Lake City, Utah."
fact,"It takes about 142.18 licks to reach the center of a Tootsie pop."
fact,"The serial number of the first MAC ever produced was 2001."
fact,"It is illegal to eat oranges while bathing in California."
fact,"If done perfectly, a rubix cube combination can be solved in 17 turns."
fact,"The average American butt is 14.9 inches long."
fact,"More bullets were fired in 'Starship Troopers' than any other movie ever made."
fact,"60% of electrocutions occur while talking on the telephone during a thunderstorm."
fact,"The name of the girl on the statue of liberty is Mother of Exiles."
fact,"3.6 cans of Spam are consumed each second."
fact,"There's a systematic lull in conversation every 7 minutes."
fact,"The buzz from an electric razor in America plays in the key of B flat; Key of G in England."
fact,"There are 1,575 steps from the ground floor to the top of the Empire State building."
fact,"The world's record for keeping a Lifesaver in the mouth with the hole intact is 7 hrs 10 min."
fact,"There are 293 ways to make change for a dollar."
fact,"The world record for spitting a watermelon seed is 65 feet 4 inches."
fact,"In the Philippine jungle, the yo-yo was first used as a weapon."
fact,"Dueling is legal in Paraguay as long as both parties are registered blood donors."
fact,"Texas is also the only state that is allowed to fly its state flag at the same height as the U.S. flag."
fact,"The three most recognized Western names in China are Jesus Christ, Richard Nixon, & Elvis Presley."
fact,"There is a town in Newfoundland, Canada called Dildo."
fact,"The Boston University Bridge (on Commonwealth Avenue, Boston, Massachusetts) is the only place in the world where a boat can sail under a train driving under a car driving under an airplane."
fact,"All 50 states are listed across the top of the Lincoln Memorial on the back of the $5 bill."
fact,"In space, astronauts are unable to cry, because there is no gravity and the tears won't flow."
fact,"Chewing gum while peeling onions will keep you from crying."
fact,"There are more plastic flamingos in the U.S that there are real ones."
fact,"The crack of a whip is actually a tiny sonic boom, since the tip breaks the sound barrier."
fact,"Jupiter is bigger than all the other planets in our solar system combined."
fact,"Hot water is heavier than cold."
fact,"The common idea that only 10% of the brain is used it not true as it is impossible to determine the actual percentage because of the complexity of the brain."
fact,"Lawn darts are illegal in Canada."
fact,"There are more psychoanalysts per capita in Buenos Aires than any other place in the world."
fact,"Between 2 and 3 jockeys are killed each year in horse racing."
fact,"5,840 people with pillow related injuries checked into U.S. emergency rooms in 1992."
fact,"The average woman consumes 6 lbs of lipstick in her lifetime."
fact,"Some individuals express concern sharing their soap, rightly so, considering 75% of all people wash from top to bottom."
fact,"Conception occurs most in the month of December."
fact,"CBS' ""60 Minutes"" is the only TV show without a theme song/music."
fact,"Half of all Americans live within 50 miles of their birthplace."
fact,"'Obsession' is the most popular boat name."
fact,"On average, Americans' favorite smell is banana."
fact,"If one spells out numbers, they would have to count to One Thousand before coming across the letter ""A""."
fact,"Honey is the only food which does not spoil."
fact,"3.9% of all women do not wear underwear."
fact,"This common everyday occurrence composed of 59% nitrogen, 21% hydrogen, and 9% dioxide is called a 'fart'."
fact,"""Evaluation and Parameterization of Stability and Safety Performance Characteristics of Two and Three Wheeled Vehicular Toys for Riding."" Title of a $230,000 research project proposed by the Department of Health, Education and Welfare, to study the various ways children fall off bicycles."
fact,"Babies are born without kneecaps. They don't appear until the child reaches 2-6 years of age."
fact,"Meteorologists claim they're right 85% of the time (think about that one!)."
fact,"In 1980, a Las Vegas hospital suspended workers for betting on when patients would die."
fact,"Los Angeles' full name 'El Pueblo de Nuestra Senora la Reina de Los Angeles de Porciuncula' is reduced to 3.63% of its size in the abbreviation 'L.A.'."
fact,"If you went out into space, you would explode before you suffocated because there's no air pressure."
fact,"The only real person to ever to appear on a pez dispenser was Betsy Ross."
fact,"Mike Nesmith's (the guitarist of The Monkeys) mom invented White Out."
fact,"Only 6 people in the whole world have died from moshing."
fact,"In a test performed by Canadian scientists, using various different styles of music, it was determined that chickens lay the most eggs when pop music was played."
fact,"The storage capacity of human brain exceeds 4 Terabytes."
fact,"In Vermont, the ratio of cows to people is 10:1."
fact,"Any free-moving liquid in outer space will form itself into a sphere, because of its surface tension."
fact,"The average American looks at eight houses before buying one."
fact,"In the average lifetime, a person will walk the equivalent of 5 times around the equator."
fact,"Koala is Aboriginal for ""no drink""."
fact,"Shakespeare spelled his OWN name several different ways."
fact,"The first contraceptive was crocodile dung used by the ancient Egyptians."
fact,"A signature is called a John Hancock because he signed the Declaration of Independence. Only 2 people signed the declaration of independence on July 4. The Last person signed 2 years later."
fact,"Arnold Schonberg suffered from triskaidecaphobia, the fear of the number 13.  He died at 13 minutes from midnight on Friday the 13th."
fact,"Mozart wrote the nursery rhyme 'twinkle, twinkle, little star' at the age of 5."
fact,"Weatherman Willard Scott was the first original Ronald McDonald."
fact,"Virginia Woolf wrote all her books standing."
fact,"Einstein couldn't speak fluently until after his ninth birthday. His parents thought he was mentally retarded."
fact,"Al Capone's business card said he was a used furniture dealer."
fact,"Deborah Winger did the voice of E.T."
fact,"Kelsey Grammar sings and plays the piano for the theme song of Fraiser."
fact,"Thomas Edison, acclaimed inventor of the light bulb, was afraid of the dark."
fact,"In England, the Speaker of the House is not allowed to speak."
fact,"You can sail all the way around the world at latitude 60 degrees south."
fact,"The earth weighs around 6,588,000,000,000,000,000,000,000,000 tons."
fact,"Peanuts are one of the ingredients of dynamite."
fact,"Porcupines can float in water."
fact,"The average person's left hand does 56% of the typing."
fact,"A shark is the only fish that can blink with both eyes."
fact,"The longest one-syllable word in the English language is ""screeched.""."
fact,"All of the clocks in the movie ""Pulp Fiction"" are stuck on 4:20, a national pot-smokers hour."
fact,"""Dreamt"" is the only English word that ends in the letters ""mt.""."
fact,"Almonds are a member of the peach family."
fact,"Winston Churchill was born in a ladies' room during a dance."
fact,"Maine is the only state whose name is just one syllable."
fact,"There are only four words in the English language which end in ""dous"": tremendous, horrendous, stupendous, and  hazardous."
fact,"Tigers not only have striped fur, they have striped skin!."
fact,"In most advertisements, including newspapers, the time displayed on a watch is 10:10."
fact,"On the ground, a group of geese is a gaggle, in the sky it is a skein."
fact,"To Ensure Promptness, one is expected to pay beyond the value of service – hence the later abbreviation: T.I.P."
fact,"When the University of Nebraska Cornhuskers play football at home, the stadium becomes the state's third largest city."
fact,"The characters Bert and Ernie on Sesame Street were named after Bert the cop and Ernie the taxi driver in Frank Capra's ""Its A Wonderful Life.""."
fact,"A dragonfly has a lifespan of 24 hours."
fact,"A dime has 118 ridges around the edge."
fact,"On an American one-dollar bill, there is an owl in the upper left-hand corner of the ""1""encased in the ""shield"" and a spider hidden in the front upper right-hand corner."
